"","week","indicator","inc","inc_low","inc_up","inc100","inc100_low","inc100_up","geo_insee","geo_name"
"1",201950,3,1926,756,3096,34,13,55,44,"GRAND EST"
"2",201950,3,2192,637,3747,36,10,62,75,"NOUVELLE-AQUITAINE"
"3",201950,3,3214,1724,4704,40,22,58,84,"AUVERGNE-RHONE-ALPES"
"4",201950,3,156,0,408,5,0,14,27,"BOURGOGNE-FRANCHE-COMTE"
"5",201950,3,1991,1078,2904,58,31,85,53,"BRETAGNE"
"6",201950,3,1458,724,2192,55,27,83,24,"CENTRE-VAL-DE-LOIRE"
"7",201950,3,74,0,152,22,0,45,94,"CORSE"
"8",201950,3,6643,4256,9030,54,35,73,11,"ILE-DE-FRANCE"
"9",201950,3,5064,3003,7125,85,50,120,76,"OCCITANIE"
"10",201950,3,2807,1321,4293,46,22,70,32,"HAUTS-DE-FRANCE"
"11",201950,3,667,43,1291,19,1,37,28,"NORMANDIE"
"12",201950,3,1274,338,2210,33,9,57,52,"PAYS-DE-LA-LOIRE"
"13",201950,3,5464,2523,8405,107,49,165,93,"PROVENCE-ALPES-COTE-D-AZUR"
"14",201949,3,1526,560,2492,27,10,44,44,"GRAND EST"
"15",201949,3,2401,885,3917,39,14,64,75,"NOUVELLE-AQUITAINE"
"16",201949,3,2321,969,3673,29,12,46,84,"AUVERGNE-RHONE-ALPES"
"17",201949,3,468,0,1096,16,0,38,27,"BOURGOGNE-FRANCHE-COMTE"
"18",201949,3,1220,486,1954,36,14,58,53,"BRETAGNE"
"19",201949,3,1007,428,1586,38,16,60,24,"CENTRE-VAL-DE-LOIRE"
"20",201949,3,66,0,137,20,0,41,94,"CORSE"
"21",201949,3,4737,2640,6834,39,22,56,11,"ILE-DE-FRANCE"
"22",201949,3,3679,2201,5157,62,37,87,76,"OCCITANIE"
"23",201949,3,3763,1953,5573,62,32,92,32,"HAUTS-DE-FRANCE"
"24",201949,3,1042,44,2040,30,1,59,28,"NORMANDIE"
"25",201949,3,964,280,1648,25,7,43,52,"PAYS-DE-LA-LOIRE"
"26",201949,3,3289,699,5879,64,13,115,93,"PROVENCE-ALPES-COTE-D-AZUR"
"27",201948,3,1493,388,2598,26,7,45,44,"GRAND EST"
"28",201948,3,1792,286,3298,29,4,54,75,"NOUVELLE-AQUITAINE"
"29",201948,3,1270,376,2164,16,5,27,84,"AUVERGNE-RHONE-ALPES"
"30",201948,3,649,0,1407,22,0,48,27,"BOURGOGNE-FRANCHE-COMTE"
"31",201948,3,1110,412,1808,33,12,54,53,"BRETAGNE"
"32",201948,3,642,255,1029,24,9,39,24,"CENTRE-VAL-DE-LOIRE"
"33",201948,3,64,0,142,19,0,42,94,"CORSE"
"34",201948,3,3920,1950,5890,32,16,48,11,"ILE-DE-FRANCE"
"35",201948,3,1227,406,2048,21,7,35,76,"OCCITANIE"
