"region","surface","cent_lon","cent_lat"
"Grand Est",57715,"5 37 10","48 41 21"
"Nouvelle-Aquitaine",84825,"0 11 52","45 11 32"
"Auvergne-Rhône-Alpes",70901,"4 32 17","45 30 57"
"Bourgogne-Franche-Comté",48058,"4 48 33","47 14 07"
"Brittany",27460,"-2 50 19","48 10 47"
"Centre-Val de Loire",39531,"1 41 07","47 28 50"
"Corsica",8731,"9 06 19","42 08 59"
"Île-de-France",12068,"2 30 17","48 42 33"
"Occitanie",73368,"2 08 14","43 42 08"
"Hauts-de-France",31948,"2 46 31","49 57 58"
"Normandy",30113,"0 06 24","49 07 16"
"Pays de la Loire",32376,"-0 49 26","47 28 29"
"Provence-Alpes-Côte d'Azur",31843,"6 03 12","43 57 18"
